"name","type","unit","vocabulary","valid_min","valid_max","description","Code_Display","Code_Query","Variable_Order","Variable_Key","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","var_uid"
"plot_length","numeric","m","","","","Plot length (gross) for single plot or treatment","PLTLN","PLTLN",4,NA,"m","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"PLEN","GENERAL",1123,55
"plot_width","numeric","m","","","","Plot width (gross) for single plot or treatment","PLTWI","PLTWI",5,NA,"m","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,".",NA,NA,56
"plot_orientation","numeric","degrees","","0","359","Plot orientation (from North)","PLTOR","PLTOR",6,NA,"arc_degrees","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"PLOR","GENERAL",1125,57
"drainage_orientation","numeric","degrees","","","","Drainage orientation (from North)","PLTOD","PLTOD",7,NA,"arc_degrees","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"PLFR","GENERAL",1126,58
"plots_relative_to_drains","numeric","degrees","","0","179","Plots relative to drains","PLDR","PLDR",8,NA,"arc_degrees","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,".",NA,NA,59
"plot_separation","numeric","cm","","0","","Spacing between individual plots, if any","PLTSP","PLTSP",9,NA,"cm","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"PLSP","GENERAL",1127,60
"plot_harvest_area","numeric","m2","","0","","Plot harvest area","PLTHA","PLTHA",21,NA,"m2","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"HAREA","GENERAL",1128,61
"plot_harvest_row_number","numeric","","","","","Plot harvest row number","PLTH#","PLTHno",22,NA,"number","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"HRNO","GENERAL",1129,62
"plot_harvest_length","numeric","m","","","","Plot harvest length","PLTHL","PLTHL",23,NA,"m","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"HLEN","GENERAL",1130,63
"plot_harvest_width","numeric","m","","","","Plot harvest width","PLTHW","PLTHW",24,NA,"m","single","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,".",NA,NA,64
"harvest_method_plot","character","","","","","Plot harvest method (eg.Hand, combine)","PLTHM","PLTHM",25,NA,"code","text","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,"HARM","GENERAL",1132,65
"plot_layout","character","","","","","Plot layout or experimental design (e.g., ""RCBD with four blocks"")","PLLAY","PLLAY",26,NA,"text","memo","EXPERIMENT","METADATA","PLOT_DETAILS",NA,1071,NA,".",NA,NA,66
"constraints","character","","","","","Constraints known to affect crop performance","CNSTR","CNSTR",1,NA,"text","text","EXPERIMENT","METADATA","NOTES",NA,1081,NA,NA,NA,NA,67
"complications","character","","","","","Complications arising during experiment","CMPLC","CMPLC",2,NA,"text","text","EXPERIMENT","METADATA","NOTES",NA,1081,NA,NA,NA,NA,68
"experiment_rating","character","","","","","Rating of experiment for completeness, correctness, etc. (e.g., using AgMIP sentinal site rating system)","EXPER_RATING","EXPER_RATING",1,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,69
"exper_rating_system","character","","","","","Name of the system used to rate the data from the experiment","RATING_SYS","RATING_SYS",2,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,70
"exper_rating_date","character","date","","","","Date of rating","RATING_DATE","AGMIP_DATE",3,NA,"date","date","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,71
"exper_rating_person","character","","","","","Initials of person conducting the assessment","RATER","AGMIP_RATER",4,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,72
"orig_data_source","character","","data_source","","","Original format of data (DSSAT, APSIM, CIMMYT, field log, etc)","DATA_SOURCE","DATA_SOURCE",5,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,73
"last_update","character","date","","","","Date of last upload of information to experimental data","LAST_UPDATE","LAST_UPDATE",6,NA,"date","date","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,74
"crop_model_version","character","","","","","Crop model version related to experiment (if any)","MODEL_VER","MODEL_VER",7,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,75
"exper_rating_mgmt","character","","","","","Rating of experiment for management data","RATING_MGMT","RATING_MGMT",8,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,76
"exper_rating_observations","character","","","","","Rating of experiment for observed data","RATING_OBS","RATING_OBS",9,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,77
"exper_rating_soils","character","","","","","Rating of experiment for soil data","RATING_SOIL","RATING_SOIL",10,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,78
"exper_rating_weather","character","","","","","Rating of experiment for weather data","RATING_WTH","RATING_WTH",11,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,79
"exper_rating_notes","character","","","","","Deatailed explanations of reasons behind rating or other relevant information","RATING_NOTES","RATING_NOTES",99,NA,"text","text","EXPERIMENT","METADATA","RATINGS",NA,1091,"2025-07-02, JWW",NA,NA,NA,80
